REBNY BBL Search,,,,,,
BBL Search Guide,,,,,,
12.27.18,,,,,,
,,,,,,
,,,code,borough,block,lot
,,,4004140117,4,414,117
,,,4004187501,4,418,7501
,,,4004337501,4,433,7501
,,,4005520029,4,552,29
,,,4005890067,4,589,67
,,,4006330040,4,633,40
,,,4006607503,4,660,7503
,,,4008397503,4,839,7503
,,,4008390033,4,839,33
,,,4012670032,4,1267,32
,,,4012837501,4,1283,7501
,,,4015237501,4,1523,7501
,,,4015987501,4,1598,7501
,,,4017217501,4,1721,7501
,,,4018387505,4,1838,7505
,,,4018800044,4,1880,44
,,,4019287501,4,1928,7501
,,,4022200001,4,2220,1
,,,4031000014,4,3100,14
,,,4033210025,4,3321,25
,,,4033597501,4,3359,7501
,,,4033730021,4,3373,21
,,,4033730022,4,3373,22
,,,4033740037,4,3374,37
,,,4033920052,4,3392,52
,,,4033940049,4,3394,49
,,,4033940050,4,3394,50
,,,4033940056,4,3394,56
,,,4033940057,4,3394,57
,,,4034030032,4,3403,32
,,,4033940053,4,3394,53
,,,4033920066,4,3392,66
,,,4033920068,4,3392,68
,,,4034070024,4,3407,24
,,,4034070028,4,3407,28
,,,4034280043,4,3428,43
,,,4034280051,4,3428,51
,,,4034290042,4,3429,42
,,,4034290052,4,3429,52
,,,4034290054,4,3429,54
,,,4034290060,4,3429,60
,,,4034290044,4,3429,44
,,,4034280041,4,3428,41
,,,4034280047,4,3428,47
,,,4034320004,4,3432,4
,,,4034320008,4,3432,8
,,,4034320010,4,3432,10
,,,4034320016,4,3432,16
,,,4034320018,4,3432,18
,,,4034320024,4,3432,24
,,,4034320026,4,3432,26
,,,4034320020,4,3432,20
,,,4034320001,4,3432,1
,,,4034320002,4,3432,2
,,,4034320006,4,3432,6
,,,4034380016,4,3438,16
,,,4034410040,4,3441,40
,,,4034410048,4,3441,48
,,,4034410054,4,3441,54
,,,4034520021,4,3452,21
,,,4034520012,4,3452,12
,,,4034520018,4,3452,18
,,,4034540016,4,3454,16
,,,4034770025,4,3477,25
,,,4034770029,4,3477,29
,,,4034770035,4,3477,35
,,,4034770017,4,3477,17
,,,4035400037,4,3540,37
,,,4035500007,4,3550,7
,,,4035520002,4,3552,2
,,,4035520003,4,3552,3
,,,4035640033,4,3564,33
,,,4035640036,4,3564,36
,,,4035480017,4,3548,17
,,,4035500010,4,3550,10
,,,4035470108,4,3547,108
,,,4035480012,4,3548,12
,,,4035650020,4,3565,20
,,,4035730029,4,3573,29
,,,4035730032,4,3573,32
,,,4035740015,4,3574,15
,,,4035740017,4,3574,17
,,,4035740020,4,3574,20
,,,4035740021,4,3574,21
,,,4035640038,4,3564,38
,,,4035640039,4,3564,39
,,,4035640041,4,3564,41
,,,4035650022,4,3565,22
,,,4035750062,4,3575,62
,,,4035750058,4,3575,58
,,,4049520033,4,4952,33
,,,4049520034,4,4952,34
,,,4049520035,4,4952,35
,,,4049520036,4,4952,36
,,,4049520037,4,4952,37
,,,4050050046,4,5005,46
,,,4051010014,4,5101,14
,,,4062847502,4,6284,7502
,,,4067987502,4,6798,7502
,,,4068000015,4,6800,15
,,,4091530066,4,9153,66
,,,4093331002,4,9333,1002
,,,4097147501,4,9714,7501
,,,4097140149,4,9714,149
,,,4099370114,4,9937,114
,,,4102000070,4,10200,70
,,,4102000076,4,10200,76
,,,4121410007,4,12141,7
,,,4125290230,4,12529,230
,,,4155540061,4,15554,61
,,,4156100001,4,15610,1
,,,4156140107,4,15614,107
,,,4158537501,4,15853,7501
,,,4161510006,4,16151,6
,,,4161880066,4,16188,66
,,,5004877501,5,487,7501
,,,5004877502,5,487,7502
,,,5024011050,5,2401,1050
,,,1004010018,1,401,18
,,,1012330059,1,1233,59
,,,1014330045,1,1433,45
,,,1019170009,1,1917,9
,,,3016340075,3,1634,75
,,,4034280045,4,3428,45
,,,4034370050,4,3437,50
,,,4034520009,4,3452,9
,,,4035650028,4,3565,28
,,,1007750006,1,775,6
,,,1005720055,1,572,55
,,,1011630017,1,1163,17
,,,1011710160,1,1171,160
,,,1018690054,1,1869,54
,,,1018430008,1,1843,8
,,,1018430010,1,1843,10
,,,1018620005,1,1862,5
,,,1018880081,1,1888,81
,,,1020930020,1,2093,20
,,,1021340065,1,2134,65
,,,1021360010,1,2136,10
,,,3003660012,3,366,12
,,,1017720071,1,1772,71
,,,4132920001,4,13292,1
,,,1003000027,1,300,27
,,,1016070069,1,1607,69
,,,1016611102,1,1661,1102
,,,3026180057,3,2618,57
,,,1011520057,1,1152,57
,,,2022950071,2,2295,71
,,,4161880068,4,16188,68
,,,1000781902,1,78,1902
,,,1011290003,1,1129,3
,,,3011050033,3,1105,33
,,,3067030045,3,6703,45
,,,1011631304,1,1163,1304
,,,4033920050,4,3392,50
,,,2024040018,2,2404,18
,,,2023691102,2,2369,1102
,,,4035740014,4,3574,14
,,,2046620081,2,4662,81
,,,4034080065,4,3408,65
,,,1001421001,1,142,1001
,,,1000760011,1,76,11
,,,1000780019,1,78,19
,,,1003000023,1,300,23
,,,1003000028,1,300,28
,,,1003430070,1,343,70
,,,1004130042,1,413,42
,,,1008290003,1,829,3
,,,1008320045,1,832,45
,,,1008460008,1,846,8
,,,1008740045,1,874,45
,,,1008760021,1,876,21
,,,1010250001,1,1025,1
,,,1011280020,1,1128,20
,,,1011680059,1,1168,59
,,,1012220001,1,1222,1
,,,1012230047,1,1223,47
,,,1012290013,1,1229,13
,,,1012610153,1,1261,153
,,,1013750129,1,1375,129
,,,1013800052,1,1380,52
,,,1013830013,1,1383,13
,,,1014060054,1,1406,54
,,,1014140029,1,1414,29
,,,1014200001,1,1420,1
,,,1015110030,1,1511,30
,,,1015120035,1,1512,35
,,,1015170020,1,1517,20
,,,1016290020,1,1629,20
,,,1016660027,1,1666,27
,,,1017180053,1,1718,53
,,,1018210047,1,1821,47
,,,1018430006,1,1843,6
,,,1018440029,1,1844,29
,,,1018440032,1,1844,32
,,,1018510037,1,1851,37
,,,1019110108,1,1911,108
,,,1019440013,1,1944,13
,,,1019440014,1,1944,14
,,,1019440051,1,1944,51
,,,1020310041,1,2031,41
,,,1020660035,1,2066,35
,,,1020920018,1,2092,18
,,,1021350007,1,2135,7
,,,2023681002,2,2368,1002
,,,2026900059,2,2690,59
,,,2027620097,2,2762,97
,,,2028879100,2,2887,9100
,,,2036270001,2,3627,1
,,,2044330023,2,4433,23
,,,3006310010,3,631,10
,,,3008100038,3,810,38
,,,3008320025,3,832,25
,,,3008320052,3,832,52
,,,3009600058,3,960,58
,,,3009660077,3,966,77
,,,3009820020,3,982,20
,,,3010820042,3,1082,42
,,,3010820043,3,1082,43
,,,3010820054,3,1082,54
,,,3010870029,3,1087,29
,,,3011270021,3,1127,21
,,,3011270043,3,1127,43
,,,3011270050,3,1127,50
,,,3011710029,3,1171,29
,,,3011710032,3,1171,32
,,,3011730084,3,1173,84
,,,3013290055,3,1329,55
,,,3013770023,3,1377,23
,,,3018510023,3,1851,23
,,,3021360021,3,2136,21
,,,3023401002,3,2340,1002
,,,3023680032,3,2368,32
,,,3030540036,3,3054,36
,,,3032860017,3,3286,17
,,,3037710006,3,3771,6
,,,3051970060,3,5197,60
,,,3054000008,3,5400,8
,,,3056900048,3,5690,48
,,,3087100035,3,8710,35
,,,3087220474,3,8722,474
,,,4021110001,4,2111,1
,,,4033660026,4,3366,26
,,,4033800016,4,3380,16
,,,4033750088,4,3375,88
,,,4033750089,4,3375,89
,,,4033920054,4,3392,54
,,,4033920056,4,3392,56
,,,4033920058,4,3392,58
,,,4033920060,4,3392,60
,,,4033920062,4,3392,62
,,,4033920064,4,3392,64
,,,4033940043,4,3394,43
,,,4033940044,4,3394,44
,,,4033940046,4,3394,46
,,,4033940052,4,3394,52
,,,4033940054,4,3394,54
,,,4033940055,4,3394,55
,,,4034030026,4,3403,26
,,,4034030028,4,3403,28
,,,4034030030,4,3403,30
,,,4033940045,4,3394,45
,,,4033940048,4,3394,48
,,,4034060060,4,3406,60
,,,4034060062,4,3406,62
,,,4034070026,4,3407,26
,,,4034280035,4,3428,35
,,,4034280037,4,3428,37
,,,4034280039,4,3428,39
,,,4034280049,4,3428,49
,,,4034280053,4,3428,53
,,,4034280055,4,3428,55
,,,4034280057,4,3428,57
,,,4034290034,4,3429,34
,,,4034290040,4,3429,40
,,,4034290058,4,3429,58
,,,4034290048,4,3429,48
,,,4034290050,4,3429,50
,,,4034320014,4,3432,14
,,,4034320022,4,3432,22
,,,4034320012,4,3432,12
,,,4034370048,4,3437,48
,,,4034370053,4,3437,53
,,,4034370051,4,3437,51
,,,4034390054,4,3439,54
,,,4034410038,4,3441,38
,,,4034410042,4,3441,42
,,,4034410044,4,3441,44
,,,4034410046,4,3441,46
,,,4034410050,4,3441,50
,,,4034410052,4,3441,52
,,,4034410059,4,3441,59
,,,4034430001,4,3443,1
,,,4034430012,4,3443,12
,,,4034470010,4,3447,10
,,,4034520007,4,3452,7
,,,4034520010,4,3452,10
,,,4034520013,4,3452,13
,,,4034520019,4,3452,19
,,,4034520016,4,3452,16
,,,4034770021,4,3477,21
,,,4034770023,4,3477,23
,,,4034770031,4,3477,31
,,,4034770033,4,3477,33
,,,4034770039,4,3477,39
,,,4034770019,4,3477,19
,,,4034870009,4,3487,9
,,,4035490023,4,3549,23
,,,4035500006,4,3550,6
,,,4035500009,4,3550,9
,,,4035520009,4,3552,9
,,,4035640035,4,3564,35
,,,4035650023,4,3565,23
,,,4035650025,4,3565,25
,,,4035650026,4,3565,26
,,,4035740018,4,3574,18
,,,4035740023,4,3574,23
,,,4035740012,4,3574,12
,,,4035750050,4,3575,50
,,,4035750053,4,3575,53
,,,4035750054,4,3575,54
