,bbl.bbl,bbl.bblBoroughCode,bbl.bblBoroughCodeIn,bbl.bblTaxBlock,bbl.bblTaxBlockIn,bbl.bblTaxLot,bbl.bblTaxLotIn,bbl.buildingIdentificationNumber,bbl.businessImprovementDistrict,bbl.condominiumBillingBbl,bbl.condominiumFlag,bbl.continuousParityIndicator,bbl.cooperativeIdNumber,bbl.cornerCode,bbl.dcpCommercialStudyArea,bbl.dofCondominiumIdentificationNumber,bbl.firstBoroughName,bbl.geosupportFunctionCode,bbl.geosupportReturnCode,bbl.gi5DigitStreetCode1,bbl.gi5DigitStreetCode10,bbl.gi5DigitStreetCode11,bbl.gi5DigitStreetCode12,bbl.gi5DigitStreetCode13,bbl.gi5DigitStreetCode14,bbl.gi5DigitStreetCode2,bbl.gi5DigitStreetCode3,bbl.gi5DigitStreetCode4,bbl.gi5DigitStreetCode5,bbl.gi5DigitStreetCode6,bbl.gi5DigitStreetCode7,bbl.gi5DigitStreetCode8,bbl.gi5DigitStreetCode9,bbl.giBoroughCode1,bbl.giBoroughCode10,bbl.giBoroughCode11,bbl.giBoroughCode12,bbl.giBoroughCode13,bbl.giBoroughCode14,bbl.giBoroughCode2,bbl.giBoroughCode3,bbl.giBoroughCode4,bbl.giBoroughCode5,bbl.giBoroughCode6,bbl.giBoroughCode7,bbl.giBoroughCode8,bbl.giBoroughCode9,bbl.giBuildingIdentificationNumber1,bbl.giBuildingIdentificationNumber10,bbl.giBuildingIdentificationNumber11,bbl.giBuildingIdentificationNumber12,bbl.giBuildingIdentificationNumber13,bbl.giBuildingIdentificationNumber14,bbl.giBuildingIdentificationNumber2,bbl.giBuildingIdentificationNumber3,bbl.giBuildingIdentificationNumber4,bbl.giBuildingIdentificationNumber5,bbl.giBuildingIdentificationNumber6,bbl.giBuildingIdentificationNumber7,bbl.giBuildingIdentificationNumber8,bbl.giBuildingIdentificationNumber9,bbl.giDcpPreferredLgc1,bbl.giDcpPreferredLgc10,bbl.giDcpPreferredLgc11,bbl.giDcpPreferredLgc12,bbl.giDcpPreferredLgc13,bbl.giDcpPreferredLgc14,bbl.giDcpPreferredLgc2,bbl.giDcpPreferredLgc3,bbl.giDcpPreferredLgc4,bbl.giDcpPreferredLgc5,bbl.giDcpPreferredLgc6,bbl.giDcpPreferredLgc7,bbl.giDcpPreferredLgc8,bbl.giDcpPreferredLgc9,bbl.giGeographicIdentifier1,bbl.giGeographicIdentifier10,bbl.giGeographicIdentifier14,bbl.giGeographicIdentifier2,bbl.giGeographicIdentifier3,bbl.giGeographicIdentifier4,bbl.giGeographicIdentifier5,bbl.giGeographicIdentifier6,bbl.giGeographicIdentifier7,bbl.giGeographicIdentifier8,bbl.giGeographicIdentifier9,bbl.giHighHouseNumber1,bbl.giHighHouseNumber10,bbl.giHighHouseNumber11,bbl.giHighHouseNumber12,bbl.giHighHouseNumber13,bbl.giHighHouseNumber14,bbl.giHighHouseNumber2,bbl.giHighHouseNumber3,bbl.giHighHouseNumber4,bbl.giHighHouseNumber5,bbl.giHighHouseNumber6,bbl.giHighHouseNumber7,bbl.giHighHouseNumber8,bbl.giHighHouseNumber9,bbl.giLowHouseNumber1,bbl.giLowHouseNumber10,bbl.giLowHouseNumber11,bbl.giLowHouseNumber12,bbl.giLowHouseNumber13,bbl.giLowHouseNumber14,bbl.giLowHouseNumber2,bbl.giLowHouseNumber3,bbl.giLowHouseNumber4,bbl.giLowHouseNumber5,bbl.giLowHouseNumber6,bbl.giLowHouseNumber7,bbl.giLowHouseNumber8,bbl.giLowHouseNumber9,bbl.giSideOfStreetIndicator1,bbl.giSideOfStreetIndicator10,bbl.giSideOfStreetIndicator11,bbl.giSideOfStreetIndicator12,bbl.giSideOfStreetIndicator13,bbl.giSideOfStreetIndicator14,bbl.giSideOfStreetIndicator2,bbl.giSideOfStreetIndicator3,bbl.giSideOfStreetIndicator4,bbl.giSideOfStreetIndicator5,bbl.giSideOfStreetIndicator6,bbl.giSideOfStreetIndicator7,bbl.giSideOfStreetIndicator8,bbl.giSideOfStreetIndicator9,bbl.giStreetCode1,bbl.giStreetCode10,bbl.giStreetCode11,bbl.giStreetCode12,bbl.giStreetCode13,bbl.giStreetCode14,bbl.giStreetCode2,bbl.giStreetCode3,bbl.giStreetCode4,bbl.giStreetCode5,bbl.giStreetCode6,bbl.giStreetCode7,bbl.giStreetCode8,bbl.giStreetCode9,bbl.giStreetName1,bbl.giStreetName10,bbl.giStreetName11,bbl.giStreetName12,bbl.giStreetName13,bbl.giStreetName14,bbl.giStreetName2,bbl.giStreetName3,bbl.giStreetName4,bbl.giStreetName5,bbl.giStreetName6,bbl.giStreetName7,bbl.giStreetName8,bbl.giStreetName9,bbl.highBblOfThisBuildingsCondominiumUnits,bbl.internalLabelXCoordinate,bbl.internalLabelYCoordinate,bbl.irregularlyShapedLotFlag,bbl.latitudeInternalLabel,bbl.longitudeInternalLabel,bbl.lowBblOfThisBuildingsCondominiumUnits,bbl.lowHouseNumberOfDefiningAddressRange,bbl.message,bbl.modeSwitchIn,bbl.numberOfEntriesInListOfGeographicIdentifiers,bbl.numberOfExistingStructuresOnLot,bbl.numberOfStreetFrontagesOfLot,bbl.returnCode1a,bbl.rpadBuildingClassificationCode,bbl.rpadSelfCheckCodeForBbl,bbl.sanbornBoroughCode,bbl.sanbornPageNumber,bbl.sanbornPageNumberSuffix,bbl.sanbornVolumeNumber,bbl.sanbornVolumeNumberSuffix,bbl.selfCheckCodeOfBillingBbl,bbl.taxMapNumberSectionAndVolume,bbl.vacantLotFlag,bbl.workAreaFormatIndicatorIn
0,4033940044,4,4,03394,3394,0044,44,4080976,,0000000000,,,0000,,42017,,QUEENS,BL,00,65290,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4080976,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1887,,,,,,,,,,,,,,1887,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46529001,,,,,,,,,,,,,,TROUTMAN STREET,,,,,,,,,,,,,,4033940044,1007011,0198607,,40.71177776763775,-73.91789902942503,4033940044,001887000AA,,X,0001,0001,01,00,C2,2,4,043,,03,,,41802,,C
0,4033940046,4,4,03394,3394,0046,46,4080978,,0000000000,,,0000,,42017,,QUEENS,BL,00,65290,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4080978,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1883,,,,,,,,,,,,,,1883,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46529001,,,,,,,,,,,,,,TROUTMAN STREET,,,,,,,,,,,,,,4033940046,1006983,0198570,,40.71167628346993,-73.9180001528141,4033940046,001883000AA,,X,0001,0001,01,00,C2,7,4,043,,03,,,41802,,C
0,4033940052,4,4,03394,3394,0052,52,4080983,,0000000000,,,0000,,42017,,QUEENS,BL,00,65290,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4080983,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1871,,,,,,,,,,,,,,1871,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46529001,,,,,,,,,,,,,,TROUTMAN STREET,,,,,,,,,,,,,,4033940052,1006911,0198478,,40.71142395015908,-73.91826017239364,4033940052,001871000AA,,X,0001,0001,01,00,C2,5,4,043,,03,,,41802,,C
0,4033940054,4,4,03394,3394,0054,54,4080985,,0000000000,,,0000,,42017,,QUEENS,BL,00,65290,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4080985,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1867,,,,,,,,,,,,,,1867,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46529001,,,,,,,,,,,,,,TROUTMAN STREET,,,,,,,,,,,,,,4033940054,1006882,0198441,,40.71132246822733,-73.91836490175916,4033940054,001867000AA,,X,0001,0001,01,00,C2,1,4,043,,03,,,41802,,C
0,4033940055,4,4,03394,3394,0055,55,4080986,,0000000000,,,0000,,42017,,QUEENS,BL,00,65290,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4080986,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1865,,,,,,,,,,,,,,1865,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46529001,,,,,,,,,,,,,,TROUTMAN STREET,,,,,,,,,,,,,,4033940055,1006868,0198422,,40.71127035356646,-73.9184154644719,4033940055,001865000AA,,X,0001,0001,01,00,C2,8,4,043,,03,,,41802,,C
0,4034030026,4,4,03403,3403,0026,26,4081287,,0000000000,,,0000,,,,QUEENS,BL,00,49790,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081287,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1872,,,,,,,,,,,,,,1872,,,,,,,,,,,,,,R,,,,,,,,,,,,,,44979001,,,,,,,,,,,,,,HIMROD STREET,,,,,,,,,,,,,,4034030026,1008686,0197118,,40.707686350247066,-73.91186256205225,4034030026,001872000AA,,X,0001,0001,01,00,C2,8,4,050,,03,,,41802,,C
0,4034030028,4,4,03403,3403,0028,28,4081288,,0000000000,,,0000,,,,QUEENS,BL,00,49790,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081288,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1874,,,,,,,,,,,,,,1874,,,,,,,,,,,,,,R,,,,,,,,,,,,,,44979001,,,,,,,,,,,,,,HIMROD STREET,,,,,,,,,,,,,,4034030028,1008701,0197137,,40.707738459290674,-73.91180839006626,4034030028,001874000AA,,X,0001,0001,01,00,C2,4,4,050,,03,,,41802,,C
0,4034030030,4,4,03403,3403,0030,30,4081289,,0000000000,,,0000,,,,QUEENS,BL,00,49790,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081289,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1876,,,,,,,,,,,,,,1876,,,,,,,,,,,,,,R,,,,,,,,,,,,,,44979001,,,,,,,,,,,,,,HIMROD STREET,,,,,,,,,,,,,,4034030030,1008717,0197157,,40.70779331030552,-73.91175060749016,4034030030,001876000AA,,X,0001,0001,01,00,C2,0,4,050,,03,,,41802,,C
0,4033940045,4,4,03394,3394,0045,45,4080977,,0000000000,,,0000,,42017,,QUEENS,BL,00,65290,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4080977,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1885,,,,,,,,,,,,,,1885,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46529001,,,,,,,,,,,,,,TROUTMAN STREET,,,,,,,,,,,,,,4033940045,1006997,0198589,,40.71172839794558,-73.9179495894687,4033940045,001885000AA,,X,0001,0001,01,00,C2,9,4,043,,03,,,41802,,C
0,4033940048,4,4,03394,3394,0048,48,4080979,,0000000000,,,0000,,42017,,QUEENS,BL,00,65290,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4080979,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1881,,,,,,,,,,,,,,1881,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46529001,,,,,,,,,,,,,,TROUTMAN STREET,,,,,,,,,,,,,,4033940048,1006968,0198552,,40.71162691630045,-73.91805431978543,4033940048,001881000AA,,X,0001,0001,01,00,C2,3,4,043,,03,,,41802,,C
0,4034060060,4,4,03406,3406,0060,60,4081415,,0000000000,,,0000,,,,QUEENS,BL,00,55490,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081415,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1863,,,,,,,,,,,,,,1863,,,,,,,,,,,,,,L,,,,,,,,,,,,,,45549001,,,,,,,,,,,,,,MENAHAN STREET,,,,,,,,,,,,,,4034060060,1009320,0196494,,40.70597184485888,-73.90957813230591,4034060060,001863000AA,,X,0001,0001,01,00,C2,0,4,048,,03,,,41802,,C
0,4034060062,4,4,03406,3406,0062,62,4521635,,0000000000,,,0000,,,,QUEENS,BL,00,55490,,,,,,55490,,,,,,,,4,,,,,,4,,,,,,,,4521635,,,,,,4081416,,,,,,,,01,,,,,,01,,,,,,,,B,,,,,,,,,,,,,,,,,1861,,,,,,,,,,,,,,1861,,,,,,,,,,,,,,L,,,,,,,,45549001,,,,,,45549001,,,,,,,,MENAHAN STREET,,,,,,MENAHAN STREET,,,,,,,,4034060062,1009305,0196469,,40.70590326827619,-73.90963232692472,4034060062,999009496AA,,X,0002,0002,01,00,C2,6,4,048,,03,,,41802,,C
0,4034070026,4,4,03407,3407,0026,26,4081430,,0000000000,,,0000,,,,QUEENS,BL,00,55490,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081430,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1872,,,,,,,,,,,,,,1872,,,,,,,,,,,,,,R,,,,,,,,,,,,,,45549001,,,,,,,,,,,,,,MENAHAN STREET,,,,,,,,,,,,,,4034070026,1009505,0196476,,40.70592191304062,-73.90891094678393,4034070026,001872000AA,,X,0001,0001,01,00,C2,9,4,048,,03,,,41802,,C
0,4034280035,4,4,03428,3428,0035,35,4081821,,0000000000,,,0000,,,,QUEENS,BL,00,63890,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081821,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1723,,,,,,,,,,,,,,1723,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46389001,,,,,,,,,,,,,,STANHOPE STREET,,,,,,,,,,,,,,4034280035,1007811,0196670,,40.70645906985097,-73.91502013754194,4034280035,001723000AA,,X,0001,0001,01,00,C2,6,4,050,,03,,,41802,,C
0,4034280037,4,4,03428,3428,0037,37,4081822,,0000000000,,,0000,,,,QUEENS,BL,00,63890,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081822,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1721,,,,,,,,,,,,,,1721,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46389001,,,,,,,,,,,,,,STANHOPE STREET,,,,,,,,,,,,,,4034280037,1007795,0196649,,40.706401472422655,-73.91507791976782,4034280037,001721000AA,,X,0001,0001,01,00,C2,2,4,050,,03,,,41802,,C
0,4034280039,4,4,03428,3428,0039,39,4081823,,0000000000,,,0000,,,,QUEENS,BL,00,63890,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081823,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1719,,,,,,,,,,,,,,1719,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46389001,,,,,,,,,,,,,,STANHOPE STREET,,,,,,,,,,,,,,4034280039,1007780,0196630,,40.70634936183131,-73.91513208811149,4034280039,001719000AA,,X,0001,0001,01,00,C2,8,4,050,,03,,,41802,,C
0,4034280049,4,4,03428,3428,0049,49,4081828,,0000000000,,,0000,,,,QUEENS,BL,00,63890,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081828,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1709,,,,,,,,,,,,,,1709,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46389001,,,,,,,,,,,,,,STANHOPE STREET,,,,,,,,,,,,,,4034280049,1007703,0196531,,40.706077834736575,-73.91541015605081,4034280049,001709000AA,,X,0001,0001,01,00,C2,7,4,050,,03,,,41802,,C
0,4034280053,4,4,03428,3428,0053,53,4081830,,0000000000,,,0000,,,,QUEENS,BL,00,63890,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4081830,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,1705,,,,,,,,,,,,,,1705,,,,,,,,,,,,,,L,,,,,,,,,,,,,,46389001,,,,,,,,,,,,,,STANHOPE STREET,,,,,,,,,,,,,,4034280053,1007672,0196491,,40.70596812633214,-73.91552210533825,4034280053,001705000AA,,X,0001,0001,01,00,C2,9,4,050,,03,,,41802,,C
